satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,work_accident,left,promotion_last_5years,department,salary,investment,reward,sanity,experience,efficiency
0.16,0.94,3,178,4,0,0,0,0,1,534,1,30.5054436438,12,0.0168539325843
0.41,0.84,6,191,6,0,0,0,0,1,1146,1,8.10857438611,36,0.0314136125654
0.72,0.76,3,261,4,0,0,0,6,1,783,1,589.646897497,12,0.0114942528736
0.73,0.78,3,262,7,1,0,1,9,2,786,3,266.153846154,21,0.0114503816794
0.43,0.53,2,136,3,0,1,0,4,1,272,1,6.84701939191,6,0.0147058823529
0.69,0.89,2,202,2,0,0,0,6,1,404,1,15.9998485221,4,0.00990099009901
0.61,0.39,3,99,2,0,0,0,3,0,297,0,8.62692565305,6,0.030303030303
0.77,0.58,4,243,4,1,0,1,4,1,972,2,14.9872988992,16,0.0164609053498
0.92,0.46,5,195,5,0,0,0,3,0,975,0,31.7266222714,25,0.025641025641
0.62,0.55,4,218,3,0,0,0,3,1,872,1,79.217603912,12,0.0183486238532
0.75,0.86,5,260,5,0,1,0,6,0,1300,0,5.36740665313,25,0.0192307692308
0.11,0.8,6,285,4,0,1,0,1,1,1710,1,1.15341212558,24,0.0210526315789
0.63,0.51,4,153,4,0,0,0,8,0,612,0,119.065010957,16,0.0261437908497
0.11,0.93,6,290,4,0,1,0,6,1,1740,1,1.08597603809,24,0.0206896551724
0.11,0.96,6,298,4,0,1,0,4,0,1788,0,0.989761761669,24,0.0201342281879
0.79,0.83,3,126,10,1,0,0,3,0,378,0,7.26449245954,30,0.0238095238095
0.6,0.56,4,260,3,0,0,0,5,2,1040,2,16.5422551229,12,0.0153846153846
0.96,0.49,5,137,3,0,0,0,0,1,685,1,1011.87403201,15,0.036496350365
0.43,0.86,5,125,3,1,0,0,4,0,625,0,66.0996579458,15,0.04
0.69,0.67,3,178,2,0,0,0,0,1,534,1,44.4432756535,6,0.0168539325843
0.74,0.77,3,211,3,0,0,0,9,2,633,2,188.781599219,9,0.0142180094787
0.87,0.97,5,151,3,0,0,0,8,1,755,1,2762.18611521,15,0.0331125827815
0.44,0.51,2,127,3,0,1,0,2,1,254,1,6.38224318119,6,0.0157480314961
0.49,0.83,3,172,2,0,0,0,4,1,516,1,32.841084417,6,0.0174418604651
0.75,0.89,4,228,5,0,1,0,3,0,912,0,52.2544042998,20,0.0175438596491
0.73,0.87,3,227,4,0,0,0,1,0,681,0,750.542299349,12,0.0132158590308
0.73,0.92,5,232,5,0,1,0,4,0,1160,0,9.31299189285,25,0.0215517241379
0.52,0.38,2,103,3,0,0,0,3,1,206,1,5.55697729682,6,0.0194174757282
0.67,0.71,5,265,2,0,0,1,4,1,1325,2,4.7013515682,10,0.0188679245283
0.45,0.45,4,168,2,0,0,0,4,0,672,0,446.153846154,8,0.0238095238095
0.37,0.49,2,138,3,0,1,0,2,0,276,0,6.67608790995,6,0.0144927536232
0.81,0.92,5,239,5,0,1,0,8,1,1195,1,8.33498344516,25,0.0209205020921
0.76,0.95,4,259,5,0,1,0,8,0,1036,0,18.6737400531,20,0.015444015444
